"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
2,16,40,"1","10","9","2","1","5","3",13550.1240234375
2,48,40,"1","10","1","2","1","2","2",9254.966796875
2,59,24,"1","2","18","2","1","4","3",35762.0859375
1,24,39,"1","2","15","2","1","2","2",20744.619140625
1,37,37,"1","2","4","2","1","4","2",30809.123046875
1,35,40,"0","1","3","2","1","4","3",16576.53515625
2,58,20,"1","2","13","2","1","2","1",18368.787109375
1,19,40,"1","1","4","2","1","5","2",25067.57421875
2,22,40,"1","10","3","2","1","1","7",5720
2,50,28,"2","3","9","2","1","2","2",31940.6015625
1,56,39,"2","1","3","2","1","3","2",31633.5
2,27,37,"2","1","3","2","1","2","2",20756.98046875
2,33,6,"0","1","5","2","1","4","2",5040.2470703125
1,29,37,"2","3","3","2","1","2","2",30538.3046875
1,17,9,"2","1","3","6","2","3","2",24062.693359375
2,28,40,"2","3","2","2","1","2","2",42184
2,50,12,"2","1","11","2","1","2","2",36831.60546875
1,41,30,"1","2","16","2","1","4","2",27254.59765625
2,50,8,"3","1","3","2","1","3","2",45992.671875
2,39,39,"0","2","13","2","1","4","4",12675.046875
2,30,38,"0","1","3","2","1","2","2",27470.06640625
2,28,37,"3","2","3","2","1","2","2",33038.00390625
1,51,37,"2","1","4","2","1","3","2",24219.693359375
2,16,10,"2","11","7","6","1","5","2",29346.83984375
2,42,40,"2","1","3","2","1","2","2",20668.359375
1,41,37,"1","2","18","2","1","4","2",18962.6484375
1,48,37,"2","1","11","2","1","4","2",17037.869140625
1,18,38,"1","10","18","2","1","3","2",22568.787109375
1,28,42,"1","1","10","2","1","1","2",10752.685546875
2,40,5,"1","1","3","2","1","5","2",15321.2734375
1,41,8,"0","1","8","2","1","2","3",16487.203125
2,49,38,"2","3","18","2","1","2","2",47718.9375
1,33,37,"2","2","3","2","1","2","1",22541.2890625
2,42,37,"2","1","5","2","1","2","2",31618.08984375
2,40,22,"2","3","5","2","1","5","2",19048.96875
2,41,7,"1","1","3","5","1","2","1",1593.0998535156
2,61,8,"1","1","4","2","1","2","1",10212
2,32,11,"1","1","17","2","1","5","2",20384.57421875
2,55,17,"1","2","9","2","1","3","2",27056.306640625
2,21,37,"1","1","13","2","1","3","3",3120.5048828125
1,26,40,"3","1","3","2","1","1","6",6503.0024414063
1,58,37,"1","1","6","2","1","1","2",10858.1201171875
1,53,40,"2","2","4","2","1","4","2",61911.9453125
1,37,37,"1","1","3","2","1","5","2",26831.64453125
2,43,33,"1","2","13","2","1","4","2",40427.5625
2,28,40,"1","10","6","2","1","2","2",17344.7890625
1,28,40,"1","1","15","2","1","3","2",31299.857421875
1,42,38,"2","1","3","2","1","5","2",61304.859375
2,53,17,"0","2","9","2","1","2","1",18313.4296875
1,19,39,"1","10","9","2","1","4","2",22332.740234375
1,34,40,"1","1","4","2","1","5","2",24496.4296875
1,55,39,"2","2","9","2","1","4","2",34438.8046875
1,44,37,"2","10","9","2","1","2","2",28232.24609375
1,33,35,"1","1","4","2","1","2","2",30088.263671875
1,17,38,"1","1","4","2","1","5","2",25067.57421875
2,28,37,"1","6","3","2","1","2","2",19823.63671875
1,49,39,"0","2","3","2","1","2","3",17674.400390625
2,29,39,"1","6","7","2","1","2","2",20203.94140625
2,59,18,"1","2","16","2","1","2","1",2999.1401367188
2,16,9,"0","11","18","6","2","2","2",9663.7587890625
2,44,40,"2","1","6","2","1","2","2",64151.99609375
2,25,16,"1","10","18","2","1","3","2",26183.908203125
1,17,13,"3","1","3","2","1","4","2",30624.984375
2,38,14,"0","6","6","2","1","4","2",18503.05859375
2,30,9,"2","2","7","2","1","4","2",7372.861328125
2,52,16,"2","1","8","2","1","3","1",26621.97265625
1,36,40,"0","3","1","2","1","1","2",28811.546875
2,25,16,"1","10","8","2","1","3","2",13987.515625
1,46,37,"1","2","6","2","1","3","2",19988.87890625
1,30,39,"0","2","6","2","1","3","2",11535.7119140625
1,38,39,"1","2","18","2","1","4","2",19260.576171875
2,32,15,"2","1","4","2","1","4","2",17253.3828125
2,56,20,"2","1","3","2","3","2","1",21710.0703125
1,22,40,"2","1","3","2","1","1","2",14026.7900390625
